images\448.jpg Annotatio\448.png
images\CRACK500_20160321_185637_1_721.jpg Annotatio\CRACK500_20160321_185637_1_721.png
images\Rissbilder_for_Florian_9S6A3088_119_576_3708_4655.jpg Annotatio\Rissbilder_for_Florian_9S6A3088_119_576_3708_4655.png
images\CRACK500_20160316_144431_1_1081.jpg Annotatio\CRACK500_20160316_144431_1_1081.png
images\Rissbilder_for_Florian_9S6A3111_47_362_3747_4341.jpg Annotatio\Rissbilder_for_Florian_9S6A3111_47_362_3747_4341.png
images\CRACK500_20160328_151402_1281_361.jpg Annotatio\CRACK500_20160328_151402_1281_361.png
images\Rissbilder_for_Florian_9S6A2798_7_2146_3377_3037.jpg Annotatio\Rissbilder_for_Florian_9S6A2798_7_2146_3377_3037.png
images\cracktree200_6310.jpg Annotatio\cracktree200_6310.png
images\CRACK500_20160222_165037_1281_721.jpg Annotatio\CRACK500_20160222_165037_1281_721.png
images\GAPS384_train_0961_1_1.jpg Annotatio\GAPS384_train_0961_1_1.png
images\CRACK500_IMG_2938_1297_969.jpg Annotatio\CRACK500_IMG_2938_1297_969.png
images\DeepCrack_11197-4.jpg Annotatio\DeepCrack_11197-4.png
images\GAPS384_train_0799_541_1.jpg Annotatio\GAPS384_train_0799_541_1.png
images\Rissbilder_for_Florian_9S6A3117_156_330_3535_3514.jpg Annotatio\Rissbilder_for_Florian_9S6A3117_156_330_3535_3514.png
images\CRACK500_20160329_104107_641_721.jpg Annotatio\CRACK500_20160329_104107_641_721.png
images\Volker_DSC01630_845_19_1526_1775.jpg Annotatio\Volker_DSC01630_845_19_1526_1775.png
images\Volker_DSC01669_83_262_1075_1404.jpg Annotatio\Volker_DSC01669_83_262_1075_1404.png
images\Rissbilder_for_Florian_9S6A2893_713_2152_3052_2638.jpg Annotatio\Rissbilder_for_Florian_9S6A2893_713_2152_3052_2638.png
images\Rissbilder_for_Florian_9S6A2875_269_1003_3159_2912.jpg Annotatio\Rissbilder_for_Florian_9S6A2875_269_1003_3159_2912.png
images\IMG_3542_2.jpg Annotatio\IMG_3542_2.png
images\noncrack_noncrack_concrete_wall_76_40.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_76_40.jpg.png
images\Rissbilder_for_Florian_9S6A2836_319_1992_2564_3268.jpg Annotatio\Rissbilder_for_Florian_9S6A2836_319_1992_2564_3268.png
images\Rissbilder_for_Florian_9S6A2830_715_2986_2996_2571.jpg Annotatio\Rissbilder_for_Florian_9S6A2830_715_2986_2996_2571.png
images\Rissbilder_for_Florian_9S6A3106_1071_2448_2579_2994.jpg Annotatio\Rissbilder_for_Florian_9S6A3106_1071_2448_2579_2994.png
images\IMG_20190821_202638_BURST2_2.jpg Annotatio\IMG_20190821_202638_BURST2_2.png
images\CRACK500_20160306_104456_1281_361.jpg Annotatio\CRACK500_20160306_104456_1281_361.png
images\129.jpg Annotatio\129.png
images\CRACK500_20160328_151402_1281_721.jpg Annotatio\CRACK500_20160328_151402_1281_721.png
images\noncrack_noncrack_concrete_wall_9_30.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_30.jpg.png
images\GAPS384_train_0670_541_641.jpg Annotatio\GAPS384_train_0670_541_641.png
images\noncrack_noncrack_concrete_wall_101_8.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_101_8.jpg.png
images\500.jpg Annotatio\500.png
images\aug_IMG_3587_1.jpg Annotatio\aug_IMG_3587_1.png
images\cracktree200_6592.jpg Annotatio\cracktree200_6592.png
images\aug_Explorer_HD2K_SN24855_11-11-23_2.jpg Annotatio\aug_Explorer_HD2K_SN24855_11-11-23_2.png
images\aug_IMG_3716_3.jpg Annotatio\aug_IMG_3716_3.png
images\198.jpg Annotatio\198.png
images\Rissbilder_for_Florian_9S6A2808_19_37_3435_3257.jpg Annotatio\Rissbilder_for_Florian_9S6A2808_19_37_3435_3257.png
images\Rissbilder_for_Florian_9S6A2861_111_299_3645_3989.jpg Annotatio\Rissbilder_for_Florian_9S6A2861_111_299_3645_3989.png
images\noncrack_noncrack_concrete_wall_9_5.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_5.jpg.png
images\Rissbilder_for_Florian_9S6A2870_16_549_3784_3098.jpg Annotatio\Rissbilder_for_Florian_9S6A2870_16_549_3784_3098.png
images\Volker_DSC01697_949_70_1584_1377.jpg Annotatio\Volker_DSC01697_949_70_1584_1377.png
images\CRACK500_20160302_155919_641_721.jpg Annotatio\CRACK500_20160302_155919_641_721.png
images\Rissbilder_for_Florian_9S6A2851_337_620_3197_2538.jpg Annotatio\Rissbilder_for_Florian_9S6A2851_337_620_3197_2538.png
images\IMG_3613.jpg Annotatio\IMG_3613.png
images\Rissbilder_for_Florian_9S6A3137_80_436_3371_4453.jpg Annotatio\Rissbilder_for_Florian_9S6A3137_80_436_3371_4453.png
images\Rissbilder_for_Florian_9S6A2866_814_1803_2535_2567.jpg Annotatio\Rissbilder_for_Florian_9S6A2866_814_1803_2535_2567.png
images\CRACK500_20160316_144230_1281_1.jpg Annotatio\CRACK500_20160316_144230_1281_1.png
images\aug_269.jpg Annotatio\aug_269.png
images\noncrack_noncrack_concrete_wall_97_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_97_0.jpg.png
images\Rissbilder_for_Florian_9S6A2793_811_444_2800_3267.jpg Annotatio\Rissbilder_for_Florian_9S6A2793_811_444_2800_3267.png
images\aug_Explorer_HD2K_SN24855_16-52-42_3.jpg Annotatio\aug_Explorer_HD2K_SN24855_16-52-42_3.png
images\CRACK500_20160328_151402_641_361.jpg Annotatio\CRACK500_20160328_151402_641_361.png
images\aug_IMG_3773_1.jpg Annotatio\aug_IMG_3773_1.png
images\Rissbilder_for_Florian_9S6A2791_793_2002_3016_3012.jpg Annotatio\Rissbilder_for_Florian_9S6A2791_793_2002_3016_3012.png
images\Rissbilder_for_Florian_9S6A2910_212_1298_3521_3661.jpg Annotatio\Rissbilder_for_Florian_9S6A2910_212_1298_3521_3661.png
images\DeepCrack_7Q3A9064-11.jpg Annotatio\DeepCrack_7Q3A9064-11.png
images\CRACK500_20160306_103816_641_721.jpg Annotatio\CRACK500_20160306_103816_641_721.png
images\noncrack_noncrack_concrete_wall_46_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_46_0.jpg.png
images\noncrack_noncrack_concrete_wall_87_5.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_87_5.jpg.png
images\GAPS384_train_0996_1_1.jpg Annotatio\GAPS384_train_0996_1_1.png
images\Rissbilder_for_Florian_9S6A2858_353_261_3456_4271.jpg Annotatio\Rissbilder_for_Florian_9S6A2858_353_261_3456_4271.png
images\Volker_DSC01675_3_938_1807_1587.jpg Annotatio\Volker_DSC01675_3_938_1807_1587.png
images\CRACK500_20160316_142035_1921_361.jpg Annotatio\CRACK500_20160316_142035_1921_361.png
images\Rissbilder_for_Florian_9S6A2888_82_103_3121_3481.jpg Annotatio\Rissbilder_for_Florian_9S6A2888_82_103_3121_3481.png
images\Volker_DSC01676_15_883_1723_1543.jpg Annotatio\Volker_DSC01676_15_883_1723_1543.png
images\noncrack_noncrack_concrete_wall_93_3.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_93_3.jpg.png
images\CRACK500_20160328_154454_721_1281.jpg Annotatio\CRACK500_20160328_154454_721_1281.png
images\Volker_DSC01697_1033_200_1345_1415.jpg Annotatio\Volker_DSC01697_1033_200_1345_1415.png
images\CRACK500_20160316_143624_361_1921.jpg Annotatio\CRACK500_20160316_143624_361_1921.png
images\IMG_3576.jpg Annotatio\IMG_3576.png
images\CRACK500_20160316_143433_1281_721.jpg Annotatio\CRACK500_20160316_143433_1281_721.png
images\aug_234.jpg Annotatio\aug_234.png
images\Rissbilder_for_Florian_9S6A3118_994_18_3824_3571.jpg Annotatio\Rissbilder_for_Florian_9S6A3118_994_18_3824_3571.png
images\noncrack_noncrack_concrete_wall_76_20.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_76_20.jpg.png
images\CRACK500_20160328_153813_1_361.jpg Annotatio\CRACK500_20160328_153813_1_361.png
images\aug_IMG_20190813_114634.jpg Annotatio\aug_IMG_20190813_114634.png
images\aug_IMG_3652.jpg Annotatio\aug_IMG_3652.png
images\CRACK500_20160308_074101_641_361.jpg Annotatio\CRACK500_20160308_074101_641_361.png
images\CRACK500_20160303_092627_641_361.jpg Annotatio\CRACK500_20160303_092627_641_361.png
images\Volker_DSC01682_62_605_1722_1359.jpg Annotatio\Volker_DSC01682_62_605_1722_1359.png
images\Rissbilder_for_Florian_9S6A2789_737_2274_3037_3294.jpg Annotatio\Rissbilder_for_Florian_9S6A2789_737_2274_3037_3294.png
images\GAPS384_train_0447_541_1.jpg Annotatio\GAPS384_train_0447_541_1.png
images\Rissbilder_for_Florian_9S6A2901_373_3252_2759_2250.jpg Annotatio\Rissbilder_for_Florian_9S6A2901_373_3252_2759_2250.png
images\aug_Explorer_HD2K_SN24855_11-23-23_1.jpg Annotatio\aug_Explorer_HD2K_SN24855_11-23-23_1.png
images\GAPS384_train_1230_1_1.jpg Annotatio\GAPS384_train_1230_1_1.png
images\noncrack_noncrack_concrete_wall_39_8.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_39_8.jpg.png
images\CRACK500_20160328_150932_1_1.jpg Annotatio\CRACK500_20160328_150932_1_1.png
images\Explorer_HD2K_SN24855_12-02-08.jpg Annotatio\Explorer_HD2K_SN24855_12-02-08.png
images\Rissbilder_for_Florian_9S6A2854_940_1767_2020_2282.jpg Annotatio\Rissbilder_for_Florian_9S6A2854_940_1767_2020_2282.png
images\Rissbilder_for_Florian_9S6A2791_473_2887_2376_2524.jpg Annotatio\Rissbilder_for_Florian_9S6A2791_473_2887_2376_2524.png
images\CRACK500_20160328_152328_1281_361.jpg Annotatio\CRACK500_20160328_152328_1281_361.png
images\Rissbilder_for_Florian_9S6A3138_225_484_3337_3201.jpg Annotatio\Rissbilder_for_Florian_9S6A3138_225_484_3337_3201.png
images\CRACK500_20160328_154339_1921_1081.jpg Annotatio\CRACK500_20160328_154339_1921_1081.png
images\aug_20200227_093435_1.jpg Annotatio\aug_20200227_093435_1.png
images\DeepCrack_11308-1.jpg Annotatio\DeepCrack_11308-1.png
images\DeepCrack_IMG_6544-4.jpg Annotatio\DeepCrack_IMG_6544-4.png
images\aug_134.jpg Annotatio\aug_134.png
images\CFD_031.jpg Annotatio\CFD_031.png
images\CRACK500_20160328_151014_1281_721.jpg Annotatio\CRACK500_20160328_151014_1281_721.png
images\Rissbilder_for_Florian_9S6A2919_1749_133_3645_3548.jpg Annotatio\Rissbilder_for_Florian_9S6A2919_1749_133_3645_3548.png
images\Rissbilder_for_Florian_9S6A3112_56_1348_2980_3408.jpg Annotatio\Rissbilder_for_Florian_9S6A3112_56_1348_2980_3408.png
images\CRACK500_20160326_142403_1921_361.jpg Annotatio\CRACK500_20160326_142403_1921_361.png
images\Volker_DSC01636_156_237_1552_1583.jpg Annotatio\Volker_DSC01636_156_237_1552_1583.png
images\noncrack_noncrack_concrete_wall_77_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_77_0.jpg.png
images\IMG_20190821_195841.jpg Annotatio\IMG_20190821_195841.png
images\Rissbilder_for_Florian_9S6A3109_276_1062_3454_2952.jpg Annotatio\Rissbilder_for_Florian_9S6A3109_276_1062_3454_2952.png
images\CRACK500_20160328_153556_1_721.jpg Annotatio\CRACK500_20160328_153556_1_721.png
images\aug_IMG_3699_2.jpg Annotatio\aug_IMG_3699_2.png
images\Rissbilder_for_Florian_9S6A3121_242_2007_2869_2316.jpg Annotatio\Rissbilder_for_Florian_9S6A3121_242_2007_2869_2316.png
images\IMG_3727_1.jpg Annotatio\IMG_3727_1.png
images\GAPS384_train_0544_1_641.jpg Annotatio\GAPS384_train_0544_1_641.png
images\noncrack_noncrack_concrete_wall_82_32.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_82_32.jpg.png
images\IMG_3517_1.jpg Annotatio\IMG_3517_1.png
images\noncrack_noncrack_concrete_wall_41_5.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_41_5.jpg.png
images\Rissbilder_for_Florian_9S6A2889_1294_1071_2540_2266.jpg Annotatio\Rissbilder_for_Florian_9S6A2889_1294_1071_2540_2266.png
images\Rissbilder_for_Florian_9S6A2798_499_1239_3234_3324.jpg Annotatio\Rissbilder_for_Florian_9S6A2798_499_1239_3234_3324.png
images\Volker_DSC01700_82_197_1311_1539.jpg Annotatio\Volker_DSC01700_82_197_1311_1539.png
images\IMG_3530.jpg Annotatio\IMG_3530.png
images\Rissbilder_for_Florian_9S6A2900_91_1873_3472_3571.jpg Annotatio\Rissbilder_for_Florian_9S6A2900_91_1873_3472_3571.png
images\464.jpg Annotatio\464.png
images\CRACK500_20160222_165909_1921_361.jpg Annotatio\CRACK500_20160222_165909_1921_361.png
images\Rissbilder_for_Florian_9S6A2916_2449_405_2485_3276.jpg Annotatio\Rissbilder_for_Florian_9S6A2916_2449_405_2485_3276.png
images\CRACK500_20160328_151243_1281_361.jpg Annotatio\CRACK500_20160328_151243_1281_361.png
images\GAPS384_train_0514_541_641.jpg Annotatio\GAPS384_train_0514_541_641.png
images\Rissbilder_for_Florian_9S6A2855_41_594_3778_4416.jpg Annotatio\Rissbilder_for_Florian_9S6A2855_41_594_3778_4416.png
images\noncrack_noncrack_concrete_wall_50_1.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_50_1.jpg.png
images\cracktree200_6340.jpg Annotatio\cracktree200_6340.png
images\Rissbilder_for_Florian_9S6A2887_852_425_2162_2764.jpg Annotatio\Rissbilder_for_Florian_9S6A2887_852_425_2162_2764.png
images\Rissbilder_for_Florian_9S6A2869_517_377_3203_3018.jpg Annotatio\Rissbilder_for_Florian_9S6A2869_517_377_3203_3018.png
images\aug_Explorer_HD2K_SN24855_10-56-50.jpg Annotatio\aug_Explorer_HD2K_SN24855_10-56-50.png
images\IMG_3692_3.jpg Annotatio\IMG_3692_3.png
images\noncrack_noncrack_concrete_wall_55_53.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_55_53.jpg.png
images\CRACK500_20160330_172305_1281_361.jpg Annotatio\CRACK500_20160330_172305_1281_361.png
images\IMG_20190821_202338_BURST2_1.jpg Annotatio\IMG_20190821_202338_BURST2_1.png
images\DeepCrack_11123.jpg Annotatio\DeepCrack_11123.png
images\Rissbilder_for_Florian_9S6A2882_231_1898_3357_2830.jpg Annotatio\Rissbilder_for_Florian_9S6A2882_231_1898_3357_2830.png
images\20200227_093634.jpg Annotatio\20200227_093634.png
images\050.jpg Annotatio\050.png
images\061.jpg Annotatio\061.png
images\Rissbilder_for_Florian_9S6A2806_893_550_4078_3145.jpg Annotatio\Rissbilder_for_Florian_9S6A2806_893_550_4078_3145.png
images\CRACK500_20160321_185557_1921_361.jpg Annotatio\CRACK500_20160321_185557_1921_361.png
images\GAPS384_train_0607_541_641.jpg Annotatio\GAPS384_train_0607_541_641.png
images\cracktree200_6584.jpg Annotatio\cracktree200_6584.png
images\Volker_DSC01633_0_0_2736_1824.jpg Annotatio\Volker_DSC01633_0_0_2736_1824.png
images\Rissbilder_for_Florian_9S6A2912_173_2001_2925_2596.jpg Annotatio\Rissbilder_for_Florian_9S6A2912_173_2001_2925_2596.png
images\20200227_093709.jpg Annotatio\20200227_093709.png
images\CRACK500_20160308_072927_1281_1.jpg Annotatio\CRACK500_20160308_072927_1281_1.png
images\CRACK500_20160222_115305_641_361.jpg Annotatio\CRACK500_20160222_115305_641_361.png
images\cracktree200_6728.jpg Annotatio\cracktree200_6728.png
images\noncrack_noncrack_concrete_wall_20_12.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_20_12.jpg.png
images\DeepCrack_IMG_6469-7.jpg Annotatio\DeepCrack_IMG_6469-7.png
images\CRACK500_20160329_104035_641_1.jpg Annotatio\CRACK500_20160329_104035_641_1.png
images\Rissbilder_for_Florian_9S6A2885_841_3351_2836_2403.jpg Annotatio\Rissbilder_for_Florian_9S6A2885_841_3351_2836_2403.png
images\CRACK500_20160308_074101_1_1.jpg Annotatio\CRACK500_20160308_074101_1_1.png
images\CRACK500_20160402_150317_1_361.jpg Annotatio\CRACK500_20160402_150317_1_361.png
images\Rissbilder_for_Florian_9S6A2788_475_1633_2369_2094.jpg Annotatio\Rissbilder_for_Florian_9S6A2788_475_1633_2369_2094.png
images\Rissbilder_for_Florian_9S6A2885_737_1164_2848_2626.jpg Annotatio\Rissbilder_for_Florian_9S6A2885_737_1164_2848_2626.png
images\noncrack_noncrack_concrete_wall_41_59.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_41_59.jpg.png
images\CRACK500_20160222_081908_1281_1081.jpg Annotatio\CRACK500_20160222_081908_1281_1081.png
images\GAPS384_train_0482_541_1.jpg Annotatio\GAPS384_train_0482_541_1.png
images\GAPS384_train_1302_541_641.jpg Annotatio\GAPS384_train_1302_541_641.png
images\CRACK500_20160328_153604_641_1081.jpg Annotatio\CRACK500_20160328_153604_641_1081.png
images\Volker_DSC01611_36_492_1757_1704.jpg Annotatio\Volker_DSC01611_36_492_1757_1704.png
images\Rissbilder_for_Florian_9S6A3122_66_2659_3745_3008.jpg Annotatio\Rissbilder_for_Florian_9S6A3122_66_2659_3745_3008.png
images\CRACK500_20160316_144105_1281_1.jpg Annotatio\CRACK500_20160316_144105_1281_1.png
images\aug_20200227_093504_1.jpg Annotatio\aug_20200227_093504_1.png
images\Rissbilder_for_Florian_9S6A3102_838_236_2828_2844.jpg Annotatio\Rissbilder_for_Florian_9S6A3102_838_236_2828_2844.png
images\aug_IMG_20190813_120527_BURST4.jpg Annotatio\aug_IMG_20190813_120527_BURST4.png
images\CRACK500_20160222_081113_1_1.jpg Annotatio\CRACK500_20160222_081113_1_1.png
images\DeepCrack_11188-2.jpg Annotatio\DeepCrack_11188-2.png
images\Rissbilder_for_Florian_9S6A3089_463_2528_2281_2044.jpg Annotatio\Rissbilder_for_Florian_9S6A3089_463_2528_2281_2044.png
images\Rissbilder_for_Florian_9S6A2847_561_567_3001_3816.jpg Annotatio\Rissbilder_for_Florian_9S6A2847_561_567_3001_3816.png
images\aug_Explorer_HD2K_SN24855_16-37-05.jpg Annotatio\aug_Explorer_HD2K_SN24855_16-37-05.png
images\CRACK500_20160328_154321_1921_721.jpg Annotatio\CRACK500_20160328_154321_1921_721.png
images\aug_IMG_3743_1.jpg Annotatio\aug_IMG_3743_1.png
images\Volker_DSC01660_195_872_1218_1421.jpg Annotatio\Volker_DSC01660_195_872_1218_1421.png
images\Volker_DSC01678_400_1295_1408_1246.jpg Annotatio\Volker_DSC01678_400_1295_1408_1246.png
images\noncrack_noncrack_concrete_wall_9_1.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_1.jpg.png
images\Rissbilder_for_Florian_9S6A2902_1190_895_1916_2542.jpg Annotatio\Rissbilder_for_Florian_9S6A2902_1190_895_1916_2542.png
images\noncrack_noncrack_concrete_wall_76_34.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_76_34.jpg.png
images\cracktree200_6242.jpg Annotatio\cracktree200_6242.png
images\CRACK500_20160328_153714_641_361.jpg Annotatio\CRACK500_20160328_153714_641_361.png
images\CRACK500_20160330_170302_641_361.jpg Annotatio\CRACK500_20160330_170302_641_361.png
images\Volker_DSC01688_401_234_999_1172.jpg Annotatio\Volker_DSC01688_401_234_999_1172.png
images\Volker_DSC01645_1307_495_1049_1132.jpg Annotatio\Volker_DSC01645_1307_495_1049_1132.png
images\Rissbilder_for_Florian_9S6A2923_1016_989_2499_2164.jpg Annotatio\Rissbilder_for_Florian_9S6A2923_1016_989_2499_2164.png
images\GAPS384_train_0953_1_1.jpg Annotatio\GAPS384_train_0953_1_1.png
images\Rissbilder_for_Florian_9S6A2808_199_1070_3221_3800.jpg Annotatio\Rissbilder_for_Florian_9S6A2808_199_1070_3221_3800.png
images\Rissbilder_for_Florian_9S6A3085_897_20_2728_3430.jpg Annotatio\Rissbilder_for_Florian_9S6A3085_897_20_2728_3430.png
images\472.jpg Annotatio\472.png
images\Volker_DSC01610_123_687_1549_1614.jpg Annotatio\Volker_DSC01610_123_687_1549_1614.png
images\CRACK500_20160307_164226_1_361.jpg Annotatio\CRACK500_20160307_164226_1_361.png
images\Rissbilder_for_Florian_9S6A2834_191_965_3615_4459.jpg Annotatio\Rissbilder_for_Florian_9S6A2834_191_965_3615_4459.png
images\IMG_20190821_201224.jpg Annotatio\IMG_20190821_201224.png
images\CRACK500_20160328_151752_1921_721.jpg Annotatio\CRACK500_20160328_151752_1921_721.png
images\GAPS384_train_1366_541_1.jpg Annotatio\GAPS384_train_1366_541_1.png
images\aug_20200227_093130_1.jpg Annotatio\aug_20200227_093130_1.png
images\Volker_DSC01634_215_1470_1561_1237.jpg Annotatio\Volker_DSC01634_215_1470_1561_1237.png
images\Rissbilder_for_Florian_9S6A2792_180_310_2424_2837.jpg Annotatio\Rissbilder_for_Florian_9S6A2792_180_310_2424_2837.png
images\CRACK500_20160330_165325_1921_721.jpg Annotatio\CRACK500_20160330_165325_1921_721.png
images\Rissbilder_for_Florian_9S6A3117_384_263_3198_2952.jpg Annotatio\Rissbilder_for_Florian_9S6A3117_384_263_3198_2952.png
images\CRACK500_20160402_150110_1281_1.jpg Annotatio\CRACK500_20160402_150110_1281_1.png
images\Rissbilder_for_Florian_9S6A2869_234_1505_3244_3697.jpg Annotatio\Rissbilder_for_Florian_9S6A2869_234_1505_3244_3697.png
images\Explorer_HD2K_SN24855_10-59-52.jpg Annotatio\Explorer_HD2K_SN24855_10-59-52.png
images\CRACK500_20160326_142327_1_1081.jpg Annotatio\CRACK500_20160326_142327_1_1081.png
images\Volker_DSC01629_412_87_1612_1296.jpg Annotatio\Volker_DSC01629_412_87_1612_1296.png
images\Rissbilder_for_Florian_9S6A3122_297_703_3377_3656.jpg Annotatio\Rissbilder_for_Florian_9S6A3122_297_703_3377_3656.png
images\Volker_DSC01670_153_259_1582_1739.jpg Annotatio\Volker_DSC01670_153_259_1582_1739.png
images\Rissbilder_for_Florian_9S6A3097_1501_2701_2196_2042.jpg Annotatio\Rissbilder_for_Florian_9S6A3097_1501_2701_2196_2042.png
images\Rissbilder_for_Florian_9S6A2914_601_1274_2657_3363.jpg Annotatio\Rissbilder_for_Florian_9S6A2914_601_1274_2657_3363.png
images\CRACK500_20160308_073310_1281_361.jpg Annotatio\CRACK500_20160308_073310_1281_361.png
images\cracktree200_6723.jpg Annotatio\cracktree200_6723.png
images\Rissbilder_for_Florian_9S6A2884_158_1281_3498_4054.jpg Annotatio\Rissbilder_for_Florian_9S6A2884_158_1281_3498_4054.png
images\CRACK500_20160306_104527_1281_361.jpg Annotatio\CRACK500_20160306_104527_1281_361.png
images\CRACK500_20160328_151243_1_1.jpg Annotatio\CRACK500_20160328_151243_1_1.png
images\IMG_3529.jpg Annotatio\IMG_3529.png
images\IMG_3651_2.jpg Annotatio\IMG_3651_2.png
images\Rissbilder_for_Florian_9S6A3118_703_244_3371_3128.jpg Annotatio\Rissbilder_for_Florian_9S6A3118_703_244_3371_3128.png
images\Rissbilder_for_Florian_9S6A3094_366_2485_2731_2681.jpg Annotatio\Rissbilder_for_Florian_9S6A3094_366_2485_2731_2681.png
images\Rissbilder_for_Florian_9S6A2841_542_955_3068_2456.jpg Annotatio\Rissbilder_for_Florian_9S6A2841_542_955_3068_2456.png
images\CRACK500_20160329_104152_1921_1081.jpg Annotatio\CRACK500_20160329_104152_1921_1081.png
images\Rissbilder_for_Florian_9S6A2850_1709_6_3810_3689.jpg Annotatio\Rissbilder_for_Florian_9S6A2850_1709_6_3810_3689.png
images\Volker_DSC01612_109_1735_1165_915.jpg Annotatio\Volker_DSC01612_109_1735_1165_915.png
images\IMG_3716_2.jpg Annotatio\IMG_3716_2.png
images\CRACK500_20160330_160957_1_1.jpg Annotatio\CRACK500_20160330_160957_1_1.png
images\Rissbilder_for_Florian_9S6A2919_948_594_2309_2820.jpg Annotatio\Rissbilder_for_Florian_9S6A2919_948_594_2309_2820.png
images\CRACK500_20160307_144842_1281_1.jpg Annotatio\CRACK500_20160307_144842_1281_1.png
images\137.jpg Annotatio\137.png
images\Rissbilder_for_Florian_9S6A2885_82_1409_2816_3479.jpg Annotatio\Rissbilder_for_Florian_9S6A2885_82_1409_2816_3479.png
images\CRACK500_20160402_151054_1281_1081.jpg Annotatio\CRACK500_20160402_151054_1281_1081.png
images\CRACK500_20160330_170348_641_361.jpg Annotatio\CRACK500_20160330_170348_641_361.png
images\cracktree200_6258.jpg Annotatio\cracktree200_6258.png
images\Volker_DSC01709_1_428_1791_1806.jpg Annotatio\Volker_DSC01709_1_428_1791_1806.png
images\IMG_3763_1.jpg Annotatio\IMG_3763_1.png
images\Volker_DSC01680_90_636_1565_1676.jpg Annotatio\Volker_DSC01680_90_636_1565_1676.png
images\Rissbilder_for_Florian_9S6A2873_905_438_3442_2738.jpg Annotatio\Rissbilder_for_Florian_9S6A2873_905_438_3442_2738.png
images\GAPS384_train_0420_1_641.jpg Annotatio\GAPS384_train_0420_1_641.png
images\GAPS384_train_0595_1_1.jpg Annotatio\GAPS384_train_0595_1_1.png
images\CRACK500_20160307_164400_1281_721.jpg Annotatio\CRACK500_20160307_164400_1281_721.png
images\aug_IMG_3260_2.jpg Annotatio\aug_IMG_3260_2.png
images\aug_IMG_20190821_195841.jpg Annotatio\aug_IMG_20190821_195841.png
images\IMG_20190813_120639_BURST6_1.jpg Annotatio\IMG_20190813_120639_BURST6_1.png
images\IMG_3479_2.jpg Annotatio\IMG_3479_2.png
images\GAPS384_train_1171_541_641.jpg Annotatio\GAPS384_train_1171_541_641.png
images\cracktree200_6721.jpg Annotatio\cracktree200_6721.png
images\Rissbilder_for_Florian_9S6A2861_717_103_2668_2641.jpg Annotatio\Rissbilder_for_Florian_9S6A2861_717_103_2668_2641.png
images\noncrack_noncrack_concrete_wall_60_13.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_60_13.jpg.png
images\CRACK500_20160328_151355_1281_361.jpg Annotatio\CRACK500_20160328_151355_1281_361.png
images\IMG_3748_1.jpg Annotatio\IMG_3748_1.png
images\aug_Explorer_HD2K_SN24855_11-51-02_1.jpg Annotatio\aug_Explorer_HD2K_SN24855_11-51-02_1.png
images\Rissbilder_for_Florian_9S6A2897_7_933_3737_4017.jpg Annotatio\Rissbilder_for_Florian_9S6A2897_7_933_3737_4017.png
images\IMG_20190813_120639_BURST6_3.jpg Annotatio\IMG_20190813_120639_BURST6_3.png
images\Rissbilder_for_Florian_9S6A2896_250_1090_2835_3374.jpg Annotatio\Rissbilder_for_Florian_9S6A2896_250_1090_2835_3374.png
images\381.jpg Annotatio\381.png
images\Rissbilder_for_Florian_9S6A2860_1126_6_3603_3405.jpg Annotatio\Rissbilder_for_Florian_9S6A2860_1126_6_3603_3405.png
images\Rissbilder_for_Florian_9S6A3100_133_1519_2532_2065.jpg Annotatio\Rissbilder_for_Florian_9S6A3100_133_1519_2532_2065.png
images\noncrack_noncrack_concrete_wall_14_19.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_14_19.jpg.png
images\cracktree200_6235.jpg Annotatio\cracktree200_6235.png
images\Rissbilder_for_Florian_9S6A3122_370_1386_3208_3073.jpg Annotatio\Rissbilder_for_Florian_9S6A3122_370_1386_3208_3073.png
images\CRACK500_20160415_191330_1281_721.jpg Annotatio\CRACK500_20160415_191330_1281_721.png
images\Rissbilder_for_Florian_9S6A2906_67_759_3263_3857.jpg Annotatio\Rissbilder_for_Florian_9S6A2906_67_759_3263_3857.png
images\noncrack_noncrack_concrete_wall_19_3.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_19_3.jpg.png
